producer, processor prod, processor model, cores, core base speed (GHz), ram type, ram cap (GB), ssd (GB), hdd (GB), gpu prod, gpu size (MB), screen type, screen size (inch), weight (kg), os, price(USD)
apple,intel, i7, 6, 2.6,ddr4, 16,0,256,amd, 4096,led ips, 15.4,1.83,macos  11.00,2499.5
apple,intel, i3, 2, 1.1,ddr4, 8,0,256,intel, 8192,led ips, 13.3,1.25,macos  11.00,799.5
apple,intel, i5, 4, 1.4,ddr3, 8,0,256,intel, 128,led ips, 13.3,1.37,macos  11.00,1049.0
apple,intel, i7, 6, 2.6,ddr4, 16,0,512,amd, 4096,led ips, 16.1,2.0,macos  11.00,2199.5
apple,intel, i5, 4, 2.0,ddr4, 16,0,512,intel, 8192,led ips, 13.3,1.4,macos  11.00,1699.5
asus,intel, i5, 2, 2.3,ddr3, 8,0,256,intel, 1700,led ips, 13.3,1.45,windows home 10.00,1620.0
asus,intel, i5, 2, 2.5,ddr4, 6,1000,0,intel, 1700,led tn, 13.3,1.5,windows home 10.00,878.5
asus,intel, i7, 4, 1.8,ddr4, 8,1000,128,intel, 1700,led ips, 15.6,1.7,windows home 10.00,867.5
asus,intel, i7, 4, 1.8,ddr4, 8,1000,256,nvidia, 2048,led ips, 15.6,1.7,windows home 10.00,2808.0
asus,intel, i5, 4, 1.6,ddr3, 8,0,512,intel, 1700,led ips, 14.0,1.4,windows home 10.00,800.0
asus,intel, i7, 6, 2.2,ddr4, 16,0,512,nvidia, 8192,led ips, 15.6,2.45,windows home 10.00,1999.5
asus,intel, i7, 4, 1.8,ddr3, 8,0,256,intel, 1700,led ips, 13.3,1.0,windows pro 10.00,990.5
asus,intel, i5, 4, 2.3,ddr4, 8,0,128,nvidia, 4096,led ips, 15.6,2.31,windows home 10.00,812.0
asus,intel, i7, 4, 1.8,ddr3, 8,0,256,intel, 1700,led ips, 13.3,1.12,windows home 10.00,1226.0
asus,intel, i5, 4, 1.6,ddr3, 8,0,256,intel, 1700,led ips, 14.0,1.19,windows home 10.00,1374.5
asus,intel, i7, 6, 2.2,ddr4, 16,0,512,nvidia, 3072,led ips, 17.3,2.75,windows home 10.00,1256.5
asus,intel, i7, 4, 1.8,ddr4, 16,0,512,nvidia, 2048,led ips, 13.9,1.1,windows pro 10.00,1199.5
asus,intel, i5, 4, 1.6,ddr3, 8,0,256,intel, 1700,led ips, 13.3,1.19,windows home 10.00,897.5
asus,intel, i7, 4, 1.8,ddr3, 16,0,512,intel, 1700,led ips, 13.3,1.0,windows pro 10.00,1500.0
asus,intel, i5, 4, 1.6,ddr4, 8,0,256,nvidia, 2048,led ips, 13.3,1.12,windows home 10.00,989.5
asus,amd, ryzen 5, 4, 2.1,ddr4, 8,0,256,amd, 2048,led ips, 14.0,1.5,windows home 10.00,599.5
