producer,processor prod,processor model,cores,core base speed (GHz),core boost speed (GHz),ram type,ram cap (GB),ssd (GB),hdd (GB),gpu prod,gpu size (MB),gpu base speed (GHz),gpu boost speed (GHz),screen type,screen size (inch),screen horizontal resolution,screen vertical resolution,sRGB (%),weight (kg),os,battery capacity (WHr),price(USD)
acer,amd,ryzen3,2,2.6,3.5,ddr4,4,0,128,amd,2048,300,1000,led ips,15.6,1920,1080,60,1.9,windows home 10.00,48,365.5
acer,intel,i5,4,1,3.6,ddr4,8,0,256,intel,8192,300,1050,led ips,15.6,1920,1080,60,1.9,windows home 10.00,36.7,399.5
acer,intel,i3,2,2.2,3.4,ddr4,4,0,0,intel,1700,300,1000,led ips,15.6,1920,1080,60,1.95,chrome os  0.00,56,430
acer,intel,i3,2,1.2,3.4,ddr4,4,0,128,intel,8192,300,900,led ips,15.6,1920,1080,60,2.72,windows home 10.00,48,430
acer,intel,i5,4,2.4,4.2,ddr4,8,0,512,intel,8192,400,1300,led ips,15.6,1920,1080,50,1.9,windows home 10.00,48,480.5
acer,amd,ryzen3,4,2.7,3.7,ddr4,4,0,128,amd,2048,300,1400,led ips,15.6,1920,1080,60,1.8,windows home 10.00,48,500
acer,intel,i3,2,2.2,3.4,ddr4,4,1000,0,intel,1700,300,1000,led ips,15.6,1920,1080,60,2.1,windows home 10.00,37,520
acer,intel,i3,2,2.1,4.1,ddr4,4,0,128,intel,1700,300,1100,led ips,15.6,1920,1080,60,1.9,windows home 10.00,48,550.5
acer,amd,ryzen5,6,2.3,4,ddr4,8,0,256,amd,2048,1100,1500,led ips,14,1920,1080,0,1.2,windows home 10.00,48,579.5
acer,intel,i5,4,1.6,3.9,ddr3,8,0,256,intel,1700,300,1100,led ips,14,1920,1080,100,1.35,windows home 10.00,48,599.5
acer,intel,i5,4,1.1,3.7,ddr4,8,0,512,intel,8192,300,1050,led ips,14,1920,1080,90,1.5,windows home 10.00,48,600
acer,intel,i5,4,1.6,4.2,ddr4,8,0,512,nvidia,2048,1519,1582,led ips,15.6,1920,1080,60,1.9,windows home 10.00,37,620
acer,intel,i5,4,1.6,3.4,ddr4,8,0,256,intel,1700,300,1100,led ips,13.3,1920,1080,90,1.6,windows home 10.00,48,640
acer,intel,i5,4,1.6,3.9,ddr4,8,0,256,intel,1700,300,1100,led ips,14,1920,1080,90,0.98,windows pro 10.00,36,650.5
acer,intel,i5,4,1,3.6,ddr4,8,0,512,nvidia,2048,1531,1594,led ips,15.6,1920,1080,60,2.72,windows home 10.00,48,650.5
acer,intel,i5,4,2.4,4.2,ddr4,8,0,512,intel,8192,400,1300,led ips,14,1920,1080,0,1.7,windows home 10.00,50.8,650.5
acer,intel,i5,4,2.5,4.5,ddr4,8,0,256,nvidia,4096,1395,1560,led ips,15.6,1920,1080,60,2.3,windows home 10.00,48,657.5
acer,intel,i5,4,1.6,4.2,ddr4,8,0,128,intel,1700,300,1100,led ips,13.5,2256,1504,0,1.37,chrome os  0.00,54,659.5
acer,intel,i5,4,1.6,3.4,ddr4,8,0,256,intel,1700,300,1100,led ips,14,1920,1080,60,1.8,windows home 10.00,48,667.5
acer,amd,ryzen5,6,3,4,ddr4,8,0,256,nvidia,4096,1395,1560,led ips,15.6,1920,1080,60,2.4,windows home 10.00,55,670.5
acer,intel,i5,4,1,3.6,ddr4,8,0,256,intel,8192,300,1050,led ips,14,1920,1080,60,1.19,windows home 10.00,48,678.5
acer,intel,i5,4,1.6,3.9,ddr4,8,0,256,intel,1700,300,1100,led ips,15.6,1920,1080,90,0.99,windows home 10.00,54,689.5
acer,intel,i5,4,1.6,3.9,ddr4,8,0,256,intel,1700,300,1100,led ips,15.6,1920,1080,60,1.9,windows home 10.00,48,695.5
acer,intel,i5,4,2.4,4.1,ddr4,8,0,512,nvidia,4096,1395,1560,led ips,15.6,1920,1080,90,2.5,windows home 10.00,57,699.5
acer,intel,i5,4,1.6,4.2,ddr4,8,0,512,nvidia,2048,1519,1582,led ips,15.6,1920,1080,60,1.8,windows home 10.00,48,699.5
acer,intel,i5,4,1.6,3.4,ddr4,8,0,256,intel,1700,300,1100,led ips,14,1920,1080,60,1.7,windows home 10.00,52.5,719
acer,intel,i7,4,1.8,4.6,ddr4,8,0,512,intel,1700,300,1150,led ips,14,1920,1080,60,1.7,windows home 10.00,48,720
acer,intel,i5,4,1.6,4.2,ddr4,8,0,256,intel,1700,300,1100,led ips,14,1920,1080,60,1.6,windows pro 10.00,48,751.5
acer,intel,i5,4,1.6,4.2,ddr4,8,0,256,intel,1700,300,1100,led ips,15.6,1920,1080,60,1.8,windows pro 10.00,48,752.5
acer,intel,i5,4,1.6,3.4,ddr4,8,0,256,intel,1700,300,1100,led ips,15.6,1920,1080,60,1.83,windows pro 10.00,51.5,799.5
acer,intel,i5,4,2.5,4.5,ddr4,8,0,512,nvidia,4096,1530,1725,led ips,17.3,1920,1080,0,2.2,windows home 10.00,55,800
acer,intel,i5,4,1.1,3.7,ddr4,8,0,512,intel,8192,300,1050,led ips,13.5,2256,1504,100,1.19,windows home 10.00,56,800
acer,intel,i7,4,2.8,4.7,ddr4,8,0,256,intel,8192,400,1300,led ips,14,1920,1080,100,1.2,windows home 10.00,48,800
acer,intel,i5,4,1.6,3.9,ddr4,8,0,256,intel,1700,300,1100,led ips,14,1920,1080,0,1.16,windows pro 10.00,60,830
acer,intel,i5,4,1,3.6,ddr4,8,0,512,intel,8192,300,1050,led ips,14,1920,1080,60,1.19,windows home 10.00,48,890.5
acer,intel,i5,4,1.6,3.4,ddr4,8,0,0,intel,1700,300,1100,led ips,14,1920,1080,60,1.5,chrome os  0.00,56,893.5
acer,intel,i5,4,1,3.6,ddr4,8,0,512,intel,8192,300,1050,led ips,14,1920,1080,60,0.99,windows home 10.00,36,899.5
acer,intel,i7,4,2.8,4.7,ddr4,8,0,512,intel,8192,400,1300,led ips,13.5,2256,1504,100,1.19,windows home 10.00,56,900
acer,intel,i5,4,2.4,4.2,ddr4,8,0,512,intel,8192,400,1300,led ips,14,1920,1080,0,1.37,windows home 10.00,57,900
acer,intel,i5,4,1.1,3.7,ddr4,16,0,512,intel,8192,300,1050,led ips,13.5,2256,1504,90,1.2,windows home 10.00,56,915
acer,intel,i7,4,1.8,4.6,ddr3,8,0,256,nvidia,2048,1227,1468,led ips,14,1920,1080,100,1.35,windows home 10.00,48,949
acer,intel,i5,4,1.6,3.9,ddr4,8,0,256,intel,1700,300,1100,led ips,13.3,1920,1080,60,1.5,windows pro 10.00,54,950.5
acer,intel,i7,6,2.6,5,ddr4,8,0,256,nvidia,6144,1455,1590,led ips,15.6,1920,1080,90,2.5,windows home 10.00,58,975.5
